growthp0001	growthqtlp0001	growthp0005	growthqtlp0005	growthp001	growthqtlp001	heightp0001	heightqtlp0001	heightp0005	heightqtlp0005	heightp001	heightqtlp001
SORBI_3007G099200	SORBI_3010G152600	SORBI_3004G169800	SORBI_3005G114500	SORBI_3002G261450	SORBI_3005G092500	SORBI_3003G158100	SORBI_3003G405600	SORBI_3002G148900	SORBI_3002G147500	SORBI_3002G126900	SORBI_3002G135750
SORBI_3007G109800	SORBI_3010G176101	SORBI_3004G198900	SORBI_3005G114900	SORBI_3002G316100	SORBI_3005G098100	SORBI_3003G161600	SORBI_3003G438000	SORBI_3002G149000	SORBI_3002G148700	SORBI_3002G129200	SORBI_3002G136100
SORBI_3007G111200	SORBI_3001G252050	SORBI_3004G316600	ENSRNA049485575	SORBI_3002G316301	ENSRNA049996218	SORBI_3003G162100	SORBI_3004G050000	SORBI_3002G149101	SORBI_3002G148851	SORBI_3002G135700	SORBI_3002G138100
SORBI_3007G114401	SORBI_3001G255001	SORBI_3004G359300	SORBI_3005G115200	SORBI_3002G370800	SORBI_3005G101850	SORBI_3003G164200	SORBI_3004G054700	SORBI_3002G149300	SORBI_3002G148900	SORBI_3002G135750	SORBI_3002G139200
SORBI_3007G114700	SORBI_3001G263500	SORBI_3005G001000	SORBI_3005G119950	SORBI_3003G136200	SORBI_3005G102401	SORBI_3003G165251	SORBI_3004G076666	SORBI_3002G150733	SORBI_3002G149000	SORBI_3002G136100	SORBI_3002G142200
SORBI_3007G131300	SORBI_3001G331301	SORBI_3005G092500	SORBI_3005G121300	SORBI_3003G161200	SORBI_3005G103300	SORBI_3003G166400	SORBI_3004G092000	SORBI_3002G150800	SORBI_3002G149300	SORBI_3002G137400	SORBI_3002G142700
SORBI_3008G000400	SORBI_3003G170600	SORBI_3005G098100	SORBI_3005G130500	SORBI_3003G162500	ENSRNA049996183	SORBI_3003G166875	SORBI_3004G100900	SORBI_3002G153200	SORBI_3002G149500	SORBI_3002G138100	SORBI_3002G143200
SORBI_3008G035900	SORBI_3003G170800	SORBI_3005G102401	SORBI_3005G130600	SORBI_3003G164100	SORBI_3005G105600	SORBI_3003G167300	SORBI_3004G113800	SORBI_3002G153900	SORBI_3002G150733	SORBI_3002G138300	SORBI_3002G143300
SORBI_3008G069300	SORBI_3003G171032	SORBI_3005G103300	SORBI_3005G141801	SORBI_3003G165551	SORBI_3005G109000	SORBI_3003G170300	SORBI_3004G119400	SORBI_3002G157400	SORBI_3002G150800	SORBI_3002G139200	SORBI_3002G143450
SORBI_3008G078800	SORBI_3003G173600	ENSRNA049996183	SORBI_3005G182000	SORBI_3003G166750	SORBI_3005G109101	SORBI_3003G170600	SORBI_3004G122100	SORBI_3002G157500	SORBI_3002G150932	SORBI_3002G141200	SORBI_3002G145600
SORBI_3008G088200	SORBI_3004G126900	SORBI_3005G105600	SORBI_3005G194200	SORBI_3003G166875	SORBI_3005G109300	SORBI_3003G171300	SORBI_3004G122200	SORBI_3002G164866	SORBI_3002G153050	SORBI_3002G142200	SORBI_3002G145800
SORBI_3008G092866	SORBI_3004G129201	SORBI_3005G109300	SORBI_3006G247500	SORBI_3003G167000	SORBI_3005G109900	SORBI_3003G171400	SORBI_3004G127600	SORBI_3002G168550	SORBI_3002G153200	SORBI_3002G142700	SORBI_3002G146701
SORBI_3008G102532	SORBI_3004G134200	SORBI_3005G110508	SORBI_3007G109800	SORBI_3003G167875	SORBI_3005G110508	SORBI_3003G174800	SORBI_3004G128200	SORBI_3002G169200	SORBI_3002G153900	SORBI_3002G143200	SORBI_3002G146900
SORBI_3008G139100	SORBI_3004G135800	SORBI_3005G112300	SORBI_3007G110300	SORBI_3003G170300	SORBI_3005G111100	SORBI_3003G174900	SORBI_3004G130400	SORBI_3002G174600	SORBI_3002G157400	SORBI_3002G143450	SORBI_3002G147200
SORBI_3008G142301	SORBI_3004G136400	SORBI_3005G114101	SORBI_3007G111100	SORBI_3003G170700	SORBI_3005G111500	SORBI_3003G175833	SORBI_3004G132400	SORBI_3002G189600	SORBI_3002G157500	SORBI_3002G144600	SORBI_3002G147350
SORBI_3008G167100	SORBI_3004G138850	SORBI_3005G114400	SORBI_3007G111200	SORBI_3003G171200	SORBI_3005G111800	SORBI_3003G178601	SORBI_3004G134200	SORBI_3002G200300	SORBI_3002G189600	SORBI_3002G145550	SORBI_3002G147400
SORBI_3009G080900	SORBI_3005G110200	SORBI_3005G114500	SORBI_3007G111600	SORBI_3003G171500	SORBI_3005G112300	SORBI_3003G178700	SORBI_3004G134700	SORBI_3002G201000	SORBI_3002G191900	SORBI_3002G145600	ENSRNA049465688
SORBI_3009G090400	SORBI_3005G112800	SORBI_3005G114900	SORBI_3007G113900	SORBI_3003G173600	SORBI_3005G112900	SORBI_3003G179800	SORBI_3004G134900	SORBI_3002G217100	SORBI_3002G217100	SORBI_3002G145800	SORBI_3002G147433
SORBI_3009G095800	SORBI_3005G114201	ENSRNA049485575	SORBI_3008G069300	SORBI_3003G173800	SORBI_3005G113101	SORBI_3003G180100	SORBI_3004G135000	SORBI_3002G233500	SORBI_3002G233500	SORBI_3002G146701	SORBI_3002G147500
SORBI_3009G098601	SORBI_3005G115200	SORBI_3005G119950	SORBI_3008G074900	SORBI_3003G178700	SORBI_3005G114101	SORBI_3003G183300	SORBI_3004G135366	SORBI_3002G245800	SORBI_3002G245800	SORBI_3002G147200	SORBI_3002G148700
SORBI_3009G111100	SORBI_3005G129100	SORBI_3005G121300	SORBI_3008G075600	SORBI_3003G178800	SORBI_3005G114400	SORBI_3003G185200	SORBI_3004G136300	SORBI_3002G261200	SORBI_3002G261200	SORBI_3002G147300	SORBI_3002G148900
ENSRNA049481000	SORBI_3005G130800	SORBI_3005G130500	SORBI_3008G076900	SORBI_3003G182400	SORBI_3005G114500	SORBI_3003G186600	SORBI_3004G136400	SORBI_3002G266300	SORBI_3002G266300	SORBI_3002G147350	SORBI_3002G149000
SORBI_3009G117500	SORBI_3005G145550	SORBI_3005G130600	SORBI_3008G078800	SORBI_3003G187200	SORBI_3005G114900	SORBI_3003G199900	SORBI_3004G138750	SORBI_3002G280800	SORBI_3002G280800	SORBI_3002G147400	SORBI_3002G149101
SORBI_3010G125900	SORBI_3007G109900	SORBI_3005G141801	SORBI_3008G086500	SORBI_3003G197500	ENSRNA049485572	SORBI_3003G216700	SORBI_3004G138800	SORBI_3002G283200	SORBI_3002G283200	ENSRNA049465492	SORBI_3002G150733
SORBI_3010G139600	SORBI_3007G111300	SORBI_3005G232200	SORBI_3008G088200	SORBI_3003G204400	ENSRNA049485575	SORBI_3003G228500	SORBI_3004G139500	SORBI_3002G322900	SORBI_3002G322900	SORBI_3002G147433	SORBI_3002G150800
SORBI_3010G140150	SORBI_3007G113300	SORBI_3006G001600	SORBI_3008G088887	SORBI_3003G212100	SORBI_3005G115200	SORBI_3003G240300	SORBI_3004G139800	SORBI_3002G392200	SORBI_3003G018600	SORBI_3002G147500	SORBI_3002G150932
SORBI_3010G140600	SORBI_3008G070200	SORBI_3006G018900	SORBI_3008G088890	SORBI_3003G214600	SORBI_3005G119800	SORBI_3003G292866	SORBI_3004G140200	SORBI_3003G018600	SORBI_3003G027000	SORBI_3002G148700	SORBI_3002G153000
SORBI_3010G140800	SORBI_3008G070800	SORBI_3006G024800	SORBI_3008G090900	SORBI_3003G223600	SORBI_3005G119950	SORBI_3003G405600	SORBI_3004G140400	SORBI_3003G027000	SORBI_3003G039900	SORBI_3002G148851	SORBI_3002G153050
SORBI_3010G144500	SORBI_3008G078900	SORBI_3006G034275	SORBI_3008G092600	SORBI_3003G277700	SORBI_3005G121300	SORBI_3003G438000	SORBI_3004G141800	SORBI_3003G039900	SORBI_3003G128350	SORBI_3002G148900	SORBI_3002G153200
SORBI_3010G152600	SORBI_3008G092932	SORBI_3006G035700	SORBI_3008G092866	SORBI_3003G287500	SORBI_3005G141801	SORBI_3004G050000	SORBI_3004G144500	SORBI_3003G079532	SORBI_3003G128800	SORBI_3002G149000	SORBI_3002G153800
SORBI_3010G176101	SORBI_3008G102600	SORBI_3006G036000	SORBI_3008G093200	SORBI_3003G393001	SORBI_3005G161000	SORBI_3004G054700	SORBI_3004G144800	SORBI_3003G086300	SORBI_3003G144100	SORBI_3002G149550	SORBI_3002G157400
SORBI_3001G255001	SORBI_3008G110700	SORBI_3006G039400	SORBI_3008G093500	SORBI_3003G425100	ENSRNA049996046	SORBI_3004G076666	SORBI_3004G146900	SORBI_3003G128350	SORBI_3003G144800	SORBI_3002G150733	SORBI_3002G157500
SORBI_3001G279800	SORBI_3008G121400	SORBI_3006G041700	SORBI_3008G094150	SORBI_3004G004500	SORBI_3006G247500	SORBI_3004G086400	SORBI_3004G147300	SORBI_3003G128800	SORBI_3003G144900	SORBI_3002G150800	SORBI_3002G189600
SORBI_3001G331301	SORBI_3009G074500	SORBI_3006G048775	SORBI_3008G094700	SORBI_3004G037200	SORBI_3007G109800	SORBI_3004G087432	SORBI_3004G153900	SORBI_3003G144100	SORBI_3003G146450	SORBI_3002G150932	SORBI_3002G195900
SORBI_3002G121300	SORBI_3009G090500	SORBI_3006G049666	SORBI_3008G097100	SORBI_3004G054700	SORBI_3007G110300	SORBI_3004G092000	SORBI_3004G154200	SORBI_3003G146450	SORBI_3003G147000	SORBI_3002G153000	SORBI_3002G217100
